aircraft_id,tfms_flight_index,unique_flight_id,date,departure_airport,departure_date,departure_time,arrival_airport,arrival_date,arriva_time,user_class,physical_class,aircraft_type
ASH21K,250319,20151106710226,6-Nov-15,IAH,20151106,1:35:00,IAD,20151106,4:11:31,Air Taxi,Jet,E170
ASH2571,326882,20151106760568,6-Nov-15,IAH,20151106,23:25:00,IAD,20151107,1:52:55,Air Taxi,Jet,E170
ASH316T,295565,20151106722450,6-Nov-15,IAH,20151106,18:38:00,OKC,20151106,19:35:00,Air Taxi,Jet,E170
ASH320W,305493,20151106745424,6-Nov-15,IAH,20151106,20:07:00,TUL,20151106,21:07:00,Air Taxi,Jet,E170
ASH32CP,312644,20151106756391,6-Nov-15,IAH,20151106,20:55:00,TUL,20151106,21:57:16,Air Taxi,Jet,E170
ASH3730,283031,20151106731218,6-Nov-15,IAH,20151106,15:11:00,BNA,20151106,16:33:09,Air Taxi,Jet,E170
ASH3732,291295,20151106743515,6-Nov-15,IAH,20151106,16:32:00,RDU,20151106,18:53:08,Air Taxi,Jet,E170
ASH3734,326480,20151106748808,6-Nov-15,IAH,20151106,23:51:00,CLT,20151107,1:59:54,Air Taxi,Jet,E170
ASH3740,250041,20151106701918,6-Nov-15,IAH,20151106,1:56:00,OKC,20151106,3:18:34,Air Taxi,Jet,E170
ASH3743,318865,20151106766025,6-Nov-15,IAH,20151106,22:00:00,CYUL,20151107,0:49:13,Air Taxi,Jet,E170
ASH3745,285156,20151106691595,6-Nov-15,IAH,20151106,15:18:00,ATL,20151106,16:53:37,Air Taxi,Jet,E170
ASH3747,315556,20151106695059,6-Nov-15,IAH,20151106,21:55:00,BDL,20151107,1:02:09,Air Taxi,Jet,E170
ASH3751,301683,20151106746566,6-Nov-15,IAH,20151106,19:03:00,ATL,20151106,20:40:10,Air Taxi,Jet,E170
ASH3759,282644,20151106726533,6-Nov-15,IAH,20151106,14:56:11,CYYZ,20151106,17:18:30,Air Taxi,Jet,E170
ASH3763,258267,20151106705901,6-Nov-15,IAH,20151106,3:38:00,OKC,20151106,4:42:00,Air Taxi,Jet,E170
ASH3766,276381,20151106726848,6-Nov-15,IAH,20151106,13:37:00,MSP,20151106,15:38:28,Air Taxi,Jet,E170
ASH3768,297239,20151106696894,6-Nov-15,IAH,20151106,17:29:00,DFW,20151106,18:08:52,Air Taxi,Jet,E170
ASH3776,326182,20151106768823,6-Nov-15,IAH,20151106,23:48:00,DTW,20151107,2:03:33,Air Taxi,Jet,E170
ASH3777,276000,20151106697820,6-Nov-15,IAH,20151106,14:30:00,ATL,20151106,16:04:33,Air Taxi,Jet,E170
ASH3781,293002,20151106739963,6-Nov-15,IAH,20151106,16:59:00,CLT,20151106,19:00:14,Air Taxi,Jet,E170
ASH3787,313724,20151106754116,6-Nov-15,IAH,20151106,21:02:00,SAT,20151106,21:43:51,Air Taxi,Jet,E170
ASH3801,250133,20151106699829,6-Nov-15,IAH,20151106,1:32:00,CYYZ,20151106,3:58:35,Air Taxi,Jet,E170
ASH3804,301307,20151106746482,6-Nov-15,IAH,20151106,18:57:00,PIT,20151106,21:01:27,Air Taxi,Jet,E170
ASH3948,279012,20151106719430,6-Nov-15,IAH,20151106,14:10:00,AUS,20151106,14:41:32,Air Taxi,Jet,E170
ASH3952,287910,20151106740865,6-Nov-15,IAH,20151106,16:02:00,ONT,20151106,19:04:22,Air Taxi,Jet,E170
ASH3975,276960,20151106729921,6-Nov-15,IAH,20151106,14:18:00,RDU,20151106,16:30:43,Air Taxi,Jet,E170
ASH397E,316980,20151106757878,6-Nov-15,IAH,20151106,21:51:00,BNA,20151106,23:18:33,Air Taxi,Jet,E170
ASH3989,280310,20151106727046,6-Nov-15,IAH,20151106,14:35:00,CLT,20151106,16:33:17,Air Taxi,Jet,E170
ASH3990,258186,20151106688552,6-Nov-15,IAH,20151106,3:29:00,BFL,20151106,6:50:51,Air Taxi,Jet,E170
ASH4022,296449,20151106741959,6-Nov-15,IAH,20151106,17:59:00,MCI,20151106,19:22:00,Air Taxi,Jet,E170
ASH4026,295102,20151106742820,6-Nov-15,IAH,20151106,17:46:00,MFE,20151106,18:40:20,Air Taxi,Jet,E170
ASH4028,278852,20151106719278,6-Nov-15,IAH,20151106,14:01:00,STL,20151106,15:40:03,Air Taxi,Jet,E170
ASH4043,329212,20151106769331,6-Nov-15,IAH,20151106,23:46:00,MFE,20151107,0:41:22,Air Taxi,Jet,E170
ASH4078,288145,20151106744645,6-Nov-15,IAH,20151106,16:30:00,CLE,20151106,18:35:31,Air Taxi,Jet,E170
ASH4082,278767,20151106698068,6-Nov-15,IAH,20151106,14:08:00,CVG,20151106,16:13:00,Air Taxi,Jet,E170
ASH5091,326840,20151106688697,6-Nov-15,IAH,20151106,23:50:00,TUL,20151107,0:49:09,Air Taxi,Jet,E170
ASH5099,301757,20151106732066,6-Nov-15,IAH,20151106,19:18:00,DTW,20151106,21:23:19,Air Taxi,Jet,E170
ASH5101,247114,20151106699152,6-Nov-15,IAH,20151106,1:44:00,OKC,20151106,3:06:00,Air Taxi,Jet,E170
ASH5104,317691,20151106755900,6-Nov-15,IAH,20151106,21:46:00,MSP,20151106,23:49:33,Air Taxi,Jet,E170
ASH5107,263119,20151106709964,6-Nov-15,IAH,20151106,4:29:00,TUL,20151106,5:32:13,Air Taxi,Jet,E170
ASH5109,187534,20151106704063,6-Nov-15,IAH,20151106,4:26:00,AUS,20151106,5:04:00,Air Taxi,Jet,E170
ASH5112,314605,20151106757062,6-Nov-15,IAH,20151106,21:05:00,MFE,20151106,22:02:17,Air Taxi,Jet,E170
ASH5113,308853,20151106752450,6-Nov-15,IAH,20151106,20:07:00,RDU,20151106,22:21:27,Air Taxi,Jet,E170
ASH5116,289801,20151106732910,6-Nov-15,IAH,20151106,16:32:00,DTW,20151106,18:33:37,Air Taxi,Jet,E170
