aircraft_id,tfms_flight_index,unique_flight_id,date,departure_airport,departure_date,departure_time,arrival_airport,arrival_date,arriva_time,user_class,physical_class,aircraft_type
N480QS,11390,20070101106088,1-Jan-07,LAX,20070101,2:41:00,LGB,20070101,2:54:41,General Aviation,Jet,GLF4
N480QS,68204,20070103273723,3-Jan-07,LGB,20070103,19:02:56,EGE,20070103,20:50:30,General Aviation,Jet,GLF4
N480QS,69083,20070103273724,3-Jan-07,EGE,20070103,22:39:00,MMTO,20070104,1:59:05,General Aviation,Jet,GLF4
N480QS,27789,20070104363434,4-Jan-07,MMPR,20070104,20:36:00,LGA,20070105,1:24:32,General Aviation,Jet,GLF4
N480QS,13199,20070105452318,5-Jan-07,LGA,20070105,16:38:00,APA,20070105,21:01:49,General Aviation,Jet,GLF4
N480QS,58920,20070106532425,6-Jan-07,APA,20070106,1:23:00,LAS,20070106,2:52:57,General Aviation,Jet,GLF4
N480QS,44975,20070107603685,7-Jan-07,LAS,20070107,14:00:00,MMMY,20070107,16:22:00,General Aviation,Jet,GLF4
N480QS,85518,20070107603688,7-Jan-07,MMMY,20070107,18:40:52,TUS,20070107,20:24:07,General Aviation,Jet,GLF4
N480QS,74967,20070107603687,7-Jan-07,TUS,20070107,20:48:00,LAS,20070107,21:47:00,General Aviation,Jet,GLF4
N480QS,88987,20070107603689,7-Jan-07,LAS,20070107,23:11:00,SMO,20070107,23:55:00,General Aviation,Jet,GLF4
N480QS,96697,20070109867315,9-Jan-07,SMO,20070109,20:45:00,SMF,20070109,21:44:08,General Aviation,Jet,GLF4
N480QS,125040,20070109867317,9-Jan-07,SMF,20070109,23:10:00,SAC,20070109,23:15:00,General Aviation,Jet,GLF4
N480QS,124086,20070110036482,10-Jan-07,SAC,20070110,1:07:00,LAX,20070110,2:06:25,General Aviation,Jet,GLF4
N480QS,62216,20070110036479,10-Jan-07,LAX,20070110,17:27:00,SDM,20070110,17:55:29,General Aviation,Jet,GLF4
N480QS,99384,20070110036480,10-Jan-07,SDM,20070110,20:25:00,SMF,20070110,21:37:23,General Aviation,Jet,GLF4
N480QS,129676,20070111196701,11-Jan-07,SMF,20070111,0:59:00,SMO,20070111,1:53:52,General Aviation,Jet,GLF4
N480QS,13607,20070111196700,11-Jan-07,SMO,20070111,2:53:00,LGB,20070111,3:08:35,General Aviation,Jet,GLF4
N480QS,133012,20070113755416,13-Jan-07,LGB,20070113,15:34:00,CMA,20070113,15:49:00,General Aviation,Jet,GLF4
N480QS,130577,20070113755415,13-Jan-07,CMA,20070113,18:31:00,MMZO,20070113,21:12:11,General Aviation,Jet,GLF4
