,aircraft_id,tfms_flight_index,unique_flight_id,date,departure_airport,departure_date,departure_time,arrival_airport,arrival_date,arriva_time,user_class,physical_class,aircraft_type
0,N900GX,118107,20100104844993,4-Jan-10,DAL,20100104,14:38:00,IAD,20100104,16:52:39,General Aviation,Jet,GLEX
0,N900GX,129992,20100104844994,4-Jan-10,IAD,20100104,17:33:00,SAV,20100104,18:47:00,General Aviation,Jet,GLEX
0,N900GX,42927,20100105931012,5-Jan-10,SAV,20100105,14:10:00,IAD,20100105,15:23:00,General Aviation,Jet,GLEX
0,N900GX,47910,20100105931013,5-Jan-10,IAD,20100105,15:49:00,DAL,20100105,18:21:00,General Aviation,Jet,GLEX
0,N900GX,30040,20100313787379,13-Mar-10,SAN,20100313,5:20:00,NTAA,20100313,13:51:42,General Aviation,Jet,GLEX
0,N900GX,133662,20100320669883,20-Mar-10,NTAA,20100320,19:48:49,SAN,20100321,3:28:00,General Aviation,Jet,GLEX
0,N900GX,22394,20100626856200,26-Jun-10,SAN,20100626,4:46:23,NTAA,20100626,12:49:13,General Aviation,Jet,GLEX
0,N900GX,1850,20100704617968,4-Jul-10,NTAA,20100704,22:38:44,SAN,20100705,6:19:28,General Aviation,Jet,GLEX
0,N900GX,495098,20101118918067,18-Nov-10,DAL,20101118,16:15:51,OGG,20101118,23:43:19,General Aviation,Jet,GL5T
0,N900GX,166309,20101120042918,20-Nov-10,OGG,20101120,9:26:00,NZAA,20101120,17:54:10,General Aviation,Jet,GL5T
0,N900GX,209383,20101127627257,27-Nov-10,NZDN,20101127,21:43:47,OGG,20101128,6:54:37,General Aviation,Jet,GL5T
0,N900GX,303043,20101128700919,28-Nov-10,OGG,20101128,17:37:54,DAL,20101129,5:12:00,General Aviation,Jet,GL5T
0,N900GX,378845,20101206294664,6-Dec-10,DAL,20101206,2:07:00,EGGW,20101206,11:37:13,General Aviation,Jet,GL5T
0,N900GX,453353,20101207386710,7-Dec-10,EGGW,20101207,3:03:00,DAL,20101207,12:21:10,General Aviation,Jet,GL5T
0,N900GX,386213,20101217050600,17-Dec-10,DAL,20101217,22:29:48,PHL,20101218,0:53:00,General Aviation,Jet,GLEX
0,N900GX,8379,20101219491972,19-Dec-10,PHL,20101219,17:52:00,DAL,20101219,20:46:00,General Aviation,Jet,GLEX
0,N900GX,247194,20110514143540,14-May-11,DAL,20110514,23:07:46,EPWA,20110515,9:05:07,General Aviation,Jet,GL5T
0,N900GX,123082,20110531559626,31-May-11,UMMS,20110531,6:04:16,IND,20110531,15:36:24,General Aviation,Jet,GL5T
0,N900GX,172621,20110531559632,31-May-11,IND,20110531,16:54:00,DAL,20110531,18:33:57,General Aviation,Jet,GLEX
0,N900GX,451562,20110706688025,6-Jul-11,DAL,20110706,2:46:00,OGG,20110706,10:05:39,General Aviation,Jet,GL5T
0,N900GX,497493,20110706688026,6-Jul-11,OGG,20110706,11:13:00,WABB,20110706,21:07:13,General Aviation,Jet,GL5T
0,N900GX,419441,20110717583482,17-Jul-11,WABB,20110717,3:13:13,OGG,20110717,12:25:02,General Aviation,Jet,GL5T
0,N900GX,452301,20110717583486,17-Jul-11,OGG,20110717,13:29:00,DAL,20110717,20:31:00,General Aviation,Jet,GL5T
0,N900GX,407705,20111119083009,19-Nov-11,BFI,20111119,5:09:00,RJTT,20111119,15:17:17,General Aviation,Jet,GL5T
0,N900GX,436029,20111126570116,26-Nov-11,RJAA,20111126,22:30:00,BFI,20111127,7:00:45,General Aviation,Jet,GL5T
0,N900GX,465941,20111127618745,27-Nov-11,BFI,20111127,7:44:00,DAL,20111127,10:43:00,General Aviation,Piston,GLST
0,N900GX,114651,20120129222644,29-Jan-12,ANC,20120129,23:31:00,ZSPD,20120130,7:38:27,General Aviation,Jet,GL5T
