Ident,Type,Origin,Origin Name,Origin City,Destination,Destination Name,Destination City,Departure Time,Arrival Time,Enroute
AAL1353,MD80,KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",KDFW,Dallas-Fort Worth Intl,"Dallas-Fort Worth, TX",2017-02-05 17:02:00,2017-02-05 19:17:00,1:15
SWA6654,B737,KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",KPHX,Phoenix Sky Harbor Intl,"Phoenix, AZ",2017-02-05 17:15:00,2017-02-05 18:13:00,0:57
SWA6632,B737,KLAS,Harry Reid Intl,"Las Vegas, NV",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-05 17:16:00,2017-02-05 19:19:00,1:03
SWA2962,B738,KSAN,San Diego Intl,"San Diego, CA",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-05 17:18:00,2017-02-05 19:34:00,1:16
N912NM,PC12,KFMN,Four Corners Rgnl,"Farmington, NM",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-05 17:20:00,2017-02-05 18:00:00,0:40
SWA6761,B733,KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",KLAS,Harry Reid Intl,"Las Vegas, NV",2017-02-05 17:21:00,2017-02-05 17:39:00,1:18
AAY362,MD80,KLAX,Los Angeles Intl,"Los Angeles, CA",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-05 17:30:00,2017-02-05 19:55:00,1:25
UPS858,B763,KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",KPHX,Phoenix Sky Harbor Intl,"Phoenix, AZ",2017-02-05 17:33:00,2017-02-05 18:27:00,0:54
BTQ613,PC12,KSVC,Grant County,"Silver City, NM",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-05 17:40:00,2017-02-05 18:24:00,0:43
SKW4499,CRJ7,KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",KSLC,Salt Lake City Intl,"Salt Lake City, UT",2017-02-05 17:42:00,2017-02-05 19:04:00,1:22
SWA3487,B737,KLAX,Los Angeles Intl,"Los Angeles, CA",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-05 17:47:00,2017-02-05 20:10:00,1:22
SWA4691,B737,KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",KSAN,San Diego Intl,"San Diego, CA",2017-02-05 18:01:00,2017-02-05 18:37:00,1:36
ASH5989,CRJ7,KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",KDFW,Dallas-Fort Worth Intl,"Dallas-Fort Worth, TX",2017-02-05 18:04:00,2017-02-05 20:15:00,1:11
CTA571,PC12,KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",KLAS,Harry Reid Intl,"Las Vegas, NV",2017-02-05 18:07:00,2017-02-05 19:06:00,1:59
N1414P,C258,KROW,Roswell Air Center,"Roswell, NM",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-05 18:13:00,2017-02-05 18:50:00,0:37
N340EM,,L 34.78139 -106.39861,"Albuquerque, NM","Albuquerque, NM",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-05 18:26:00,,n/a
SWA3846,B737,KPHX,Phoenix Sky Harbor Intl,"Phoenix, AZ",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-05 18:46:00,2017-02-05 19:32:00,0:45
N912NM,PC12,KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",KFMN,Four Corners Rgnl,"Farmington, NM",2017-02-05 18:52:00,2017-02-05 19:29:00,0:37
ASH5964,CRJ9,KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",KPHX,Phoenix Sky Harbor Intl,"Phoenix, AZ",2017-02-05 19:10:00,2017-02-05 20:15:00,1:05
BLK1,BE30,KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",KROW,Roswell Air Center,"Roswell, NM",2017-02-05 19:13:00,2017-02-05 19:51:00,0:38
BTQ566,PC12,KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",KALS,San Luis Valley Rgnl,"Alamosa, CO",2017-02-05 19:16:00,2017-02-05 19:55:00,0:39
UAL438,A319,KDEN,Denver Intl,"Denver, CO",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-05 19:22:00,2017-02-05 20:12:00,0:50
BTQ616,PC12,KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",KSVC,Grant County,"Silver City, NM",2017-02-05 19:22:00,2017-02-05 20:15:00,0:53
AAL2568,B738,KDFW,Dallas-Fort Worth Intl,"Dallas-Fort Worth, TX",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-05 19:30:00,2017-02-05 19:52:00,1:22
DAL1225,MD90,KATL,Hartsfield-Jackson Intl,"Atlanta, GA",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-05 19:42:00,2017-02-05 20:39:00,2:57
ASH5905,CRJ9,KPHX,Phoenix Sky Harbor Intl,"Phoenix, AZ",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-05 20:09:00,2017-02-05 20:56:00,0:46
PWA350,CL35,KVNY,Van Nuys,"Van Nuys, CA",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-05 20:10:00,2017-02-05 22:31:00,1:20
SWA2833,B733,KHOU,William P Hobby,"Houston, TX",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-05 20:17:00,2017-02-05 21:07:00,1:50
JBU65,A320,KJFK,John F Kennedy Intl,"New York, NY",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-05 20:19:00,2017-02-05 22:43:00,4:24
