Ident,Type,Origin,Origin Name,Origin City,Destination,Destination Name,Destination City,Departure Time,Arrival Time,Enroute
N44399,,KSNA,John Wayne,"Santa Ana, CA",L 33.71670 -117.85000,"Santa Ana, CA","Santa Ana, CA",2017-02-05 16:03:00,,n/a
EJA113,GL5T,KLAS,Harry Reid Intl,"Las Vegas, NV",KSNA,John Wayne,"Santa Ana, CA",2017-02-05 16:09:00,2017-02-05 16:49:00,0:40
ASA592,B738,KPDX,Portland Intl,"Portland, OR",KSNA,John Wayne,"Santa Ana, CA",2017-02-05 16:11:00,2017-02-05 18:20:00,2:09
SWA6560,B737,KSNA,John Wayne,"Santa Ana, CA",KSFO,San Francisco Int'l,"San Francisco, CA",2017-02-05 16:12:00,2017-02-05 17:23:00,1:10
ASA507,B738,KSNA,John Wayne,"Santa Ana, CA",KSEA,Seattle-Tacoma Intl,"Seattle, WA",2017-02-05 16:13:00,2017-02-05 18:30:00,2:17
BLK1,GLEX ,KSNA,John Wayne,"Santa Ana, CA",KBFI,Boeing Field Intl,"Seattle, WA",2017-02-05 16:19:00,2017-02-05 18:27:00,2:08
UAL809,A320,KSNA,John Wayne,"Santa Ana, CA",KDEN,Denver Intl,"Denver, CO",2017-02-05 16:23:00,2017-02-05 19:08:00,1:45
QXE2700,DH8D,KSNA,John Wayne,"Santa Ana, CA",KRNO,Reno/Tahoe Intl,"Reno, NV",2017-02-05 16:25:00,2017-02-05 17:36:00,1:11
SWA6090,B737,KSFO,San Francisco Int'l,"San Francisco, CA",KSNA,John Wayne,"Santa Ana, CA",2017-02-05 16:27:00,2017-02-05 17:28:00,1:00
SWA2203,B737,KSMF,Sacramento Intl,"Sacramento, CA",KSNA,John Wayne,"Santa Ana, CA",2017-02-05 16:27:00,2017-02-05 17:37:00,1:09
LXJ574,CL30,KPSP,Palm Springs Intl,"Palm Springs, CA",KSNA,John Wayne,"Santa Ana, CA",2017-02-05 16:32:00,2017-02-05 16:52:00,0:19
N52364,,KFUL,Fullerton Muni,"Fullerton, CA",KSNA,John Wayne,"Santa Ana, CA",2017-02-05 16:33:00,2017-02-05 16:40:00,0:07
AAL1494,B738,KSNA,John Wayne,"Santa Ana, CA",KPHX,Phoenix Sky Harbor Intl,"Phoenix, AZ",2017-02-05 16:42:00,2017-02-05 18:36:00,0:54
SWA2752,B737,KSNA,John Wayne,"Santa Ana, CA",KDEN,Denver Intl,"Denver, CO",2017-02-05 16:44:00,2017-02-05 19:27:00,1:43
N480HP,PA46,KCMA,Camarillo,"Camarillo, CA",KSNA,John Wayne,"Santa Ana, CA",2017-02-05 16:46:00,2017-02-05 17:21:00,0:35
N525MM,C25M,KSNA,John Wayne,"Santa Ana, CA",KSDL,Scottsdale,"Scottsdale, AZ",2017-02-05 16:46:00,2017-02-05 18:42:00,0:56
SWA3056,B737,KSNA,John Wayne,"Santa Ana, CA",KSMF,Sacramento Intl,"Sacramento, CA",2017-02-05 16:55:00,2017-02-05 18:06:00,1:11
DAL262,B712,KSNA,John Wayne,"Santa Ana, CA",KSLC,Salt Lake City Intl,"Salt Lake City, UT",2017-02-05 16:59:00,2017-02-05 19:22:00,1:23
ASA528,B738,KSEA,Seattle-Tacoma Intl,"Seattle, WA",KSNA,John Wayne,"Santa Ana, CA",2017-02-05 17:01:00,2017-02-05 19:24:00,2:22
SWA6485,B737,KSNA,John Wayne,"Santa Ana, CA",KLAS,Harry Reid Intl,"Las Vegas, NV",2017-02-05 17:01:00,2017-02-05 17:46:00,0:45
SWA2478,B737,KSJC,San Jose Int'l,"San Jose, CA",KSNA,John Wayne,"Santa Ana, CA",2017-02-05 17:06:00,2017-02-05 18:03:00,0:57
UAL1281,A319,KSFO,San Francisco Int'l,"San Francisco, CA",KSNA,John Wayne,"Santa Ana, CA",2017-02-05 17:07:00,2017-02-05 18:07:00,1:00
N448JM,AS55,KSNA,John Wayne,"Santa Ana, CA",KSNA,John Wayne,"Santa Ana, CA",2017-02-05 17:07:00,2017-02-05 17:16:00,0:08
N871EU,B350,KOAK,Metro Oakland Intl,"Oakland, CA",KSNA,John Wayne,"Santa Ana, CA",2017-02-05 17:12:00,2017-02-05 18:30:00,1:18
FFT265,A319,KDEN,Denver Intl,"Denver, CO",KSNA,John Wayne,"Santa Ana, CA",2017-02-05 17:20:00,2017-02-05 18:41:00,2:21
N863MF,GLF5,KOAK,Metro Oakland Intl,"Oakland, CA",KSNA,John Wayne,"Santa Ana, CA",2017-02-05 17:28:00,2017-02-05 18:28:00,0:59
SWA3043,B737,KSNA,John Wayne,"Santa Ana, CA",KOAK,Metro Oakland Intl,"Oakland, CA",2017-02-05 17:30:00,2017-02-05 18:43:00,1:13
EJA312,E55P,KSNA,John Wayne,"Santa Ana, CA",KOAK,Metro Oakland Intl,"Oakland, CA",2017-02-05 17:31:00,2017-02-05 18:46:00,1:15
EJA113,GL5T,KSNA,John Wayne,"Santa Ana, CA",KLAS,Harry Reid Intl,"Las Vegas, NV",2017-02-05 17:34:00,2017-02-05 18:13:00,0:39
SWA4631,B737,KOAK,Metro Oakland Intl,"Oakland, CA",KSNA,John Wayne,"Santa Ana, CA",2017-02-05 17:35:00,2017-02-05 18:35:00,1:00
N30TB,,L 33.65000 -117.40000,"Riverside, CA","Riverside, CA",KSNA,John Wayne,"Santa Ana, CA",2017-02-05 17:37:00,,n/a
N87297,C310,KCNO,Chino,"Chino, CA",KSNA,John Wayne,"Santa Ana, CA",2017-02-05 17:42:00,2017-02-05 17:53:00,0:11
LXJ574,CL30,KSNA,John Wayne,"Santa Ana, CA",KLAS,Harry Reid Intl,"Las Vegas, NV",2017-02-05 17:47:00,2017-02-05 18:28:00,0:41
AAL2572,B738,KSNA,John Wayne,"Santa Ana, CA",KDFW,Dallas-Fort Worth Intl,"Dallas-Fort Worth, TX",2017-02-05 17:48:00,2017-02-05 22:11:00,2:23
SWA6724,B737,KPHX,Phoenix Sky Harbor Intl,"Phoenix, AZ",KSNA,John Wayne,"Santa Ana, CA",2017-02-05 17:51:00,2017-02-05 17:45:00,0:54
SWA6724,B737,KPHX,Phoenix Sky Harbor Intl,"Phoenix, AZ",KSNA,John Wayne,"Santa Ana, CA",2017-02-05 17:51:00,2017-02-05 17:45:00,0:53
BLK2,B350,KTRM,Jacqueline Cochran Rgnl,"Thermal, CA",KSNA,John Wayne,"Santa Ana, CA",2017-02-05 17:59:00,2017-02-05 18:24:00,0:24
UAL440,B738,KSNA,John Wayne,"Santa Ana, CA",KDEN,Denver Intl,"Denver, CO",2017-02-05 18:03:00,2017-02-05 20:48:00,1:45
N327NM,SR22,L35,Big Bear City,"Big Bear City, CA",KSNA,John Wayne,"Santa Ana, CA",2017-02-05 18:05:00,2017-02-05 18:32:00,0:26
SWA6623,B737,KSJC,San Jose Int'l,"San Jose, CA",KSNA,John Wayne,"Santa Ana, CA",2017-02-05 18:09:00,2017-02-05 19:06:00,0:57
UAL684,A320,KIAH,Houston Bush Int'ctl,"Houston, TX",KSNA,John Wayne,"Santa Ana, CA",2017-02-05 18:10:00,2017-02-05 19:13:00,3:03
SWA6259,B737,KSNA,John Wayne,"Santa Ana, CA",KSMF,Sacramento Intl,"Sacramento, CA",2017-02-05 18:12:00,2017-02-05 19:25:00,1:13
AAL1034,B738,KPHX,Phoenix Sky Harbor Intl,"Phoenix, AZ",KSNA,John Wayne,"Santa Ana, CA",2017-02-05 18:12:00,2017-02-05 18:09:00,0:57
SWA2469,B737,KSNA,John Wayne,"Santa Ana, CA",KPHX,Phoenix Sky Harbor Intl,"Phoenix, AZ",2017-02-05 18:17:00,2017-02-05 20:10:00,0:53
SWA2138,B737,KOAK,Metro Oakland Intl,"Oakland, CA",KSNA,John Wayne,"Santa Ana, CA",2017-02-05 18:25:00,2017-02-05 19:27:00,1:01
BLK3,GLF5,KSNA,John Wayne,"Santa Ana, CA",KMSP,Minneapolis/St Paul Intl,"Minneapolis, MN",2017-02-05 18:25:00,2017-02-05 23:05:00,2:40
SWA6061,B737,KSNA,John Wayne,"Santa Ana, CA",KSJC,San Jose Int'l,"San Jose, CA",2017-02-05 18:27:00,2017-02-05 19:28:00,1:00
SKW3404,E75L,KSJC,San Jose Int'l,"San Jose, CA",KSNA,John Wayne,"Santa Ana, CA",2017-02-05 18:32:00,2017-02-05 19:37:00,1:04
N143AL,,KSNA,John Wayne,"Santa Ana, CA",KSNA,John Wayne,"Santa Ana, CA",2017-02-05 18:33:00,2017-02-05 18:59:00,0:26
SWA6411,B737,KLAS,Harry Reid Intl,"Las Vegas, NV",KSNA,John Wayne,"Santa Ana, CA",2017-02-05 18:33:00,2017-02-05 19:14:00,0:41
BLK4,PA34,KHND,Henderson Exec,"Las Vegas, NV",KSNA,John Wayne,"Santa Ana, CA",2017-02-05 18:34:00,2017-02-05 20:11:00,1:37
SWA6724,B737,KSNA,John Wayne,"Santa Ana, CA",KSJC,San Jose Int'l,"San Jose, CA",2017-02-05 18:40:00,2017-02-05 19:44:00,1:04
N863MF,GLF5,KSNA,John Wayne,"Santa Ana, CA",KSAT,San Antonio Intl,"San Antonio, TX",2017-02-05 18:48:00,2017-02-05 23:03:00,2:14
N529MC,,KSNA,John Wayne,"Santa Ana, CA",KSBA,Santa Barbara Muni,"Santa Barbara, CA",2017-02-05 18:50:00,2017-02-05 20:49:00,1:58
BLK5,LJ35,KSNA,John Wayne,"Santa Ana, CA",KAPA,Centennial,"Denver, CO",2017-02-05 18:51:00,2017-02-05 21:34:00,1:42
UAL562,B737,KDEN,Denver Intl,"Denver, CO",KSNA,John Wayne,"Santa Ana, CA",2017-02-05 18:57:00,2017-02-05 20:04:00,2:07
SWA2848,B737,KSJC,San Jose Int'l,"San Jose, CA",KSNA,John Wayne,"Santa Ana, CA",2017-02-05 18:58:00,2017-02-05 19:55:00,0:56
N871EU,,KSNA,John Wayne,"Santa Ana, CA",KLGB,Daugherty Field,"Long Beach, CA",2017-02-05 18:59:00,2017-02-05 19:05:00,0:06
SWA6135,B737,KSNA,John Wayne,"Santa Ana, CA",KSFO,San Francisco Int'l,"San Francisco, CA",2017-02-05 19:12:00,2017-02-05 20:20:00,1:08
ASA585,B738,KSNA,John Wayne,"Santa Ana, CA",KPDX,Portland Intl,"Portland, OR",2017-02-05 19:17:00,2017-02-05 21:11:00,1:54
UAL501,B738,KSNA,John Wayne,"Santa Ana, CA",KSFO,San Francisco Int'l,"San Francisco, CA",2017-02-05 19:19:00,2017-02-05 20:34:00,1:15
N49WC,B350,KSNA,John Wayne,"Santa Ana, CA",KFNL,Northern Colorado Regional,"Fort Collins/Loveland, CO",2017-02-05 19:21:00,2017-02-05 22:50:00,2:29
WCC49,B350,KSNA,John Wayne,"Santa Ana, CA",KFNL,Northern Colorado Regional,"Fort Collins/Loveland, CO",2017-02-05 19:21:00,2017-02-05 22:49:00,2:28
ASA289,B738,KSNA,John Wayne,"Santa Ana, CA",KSEA,Seattle-Tacoma Intl,"Seattle, WA",2017-02-05 19:26:00,2017-02-05 21:39:00,2:12
AAL1278,B738,KDFW,Dallas-Fort Worth Intl,"Dallas-Fort Worth, TX",KSNA,John Wayne,"Santa Ana, CA",2017-02-05 19:29:00,2017-02-05 20:22:00,2:53
AAL2548,B738,KSNA,John Wayne,"Santa Ana, CA",KDFW,Dallas-Fort Worth Intl,"Dallas-Fort Worth, TX",2017-02-05 19:29:00,2017-02-05 23:46:00,2:17
CPZ5739,E170,KSEA,Seattle-Tacoma Intl,"Seattle, WA",KSNA,John Wayne,"Santa Ana, CA",2017-02-05 19:31:00,2017-02-05 22:01:00,2:30
FFT714,A319,KSNA,John Wayne,"Santa Ana, CA",KDEN,Denver Intl,"Denver, CO",2017-02-05 19:33:00,2017-02-05 22:20:00,1:47
AAL1246,B738,KSNA,John Wayne,"Santa Ana, CA",KPHX,Phoenix Sky Harbor Intl,"Phoenix, AZ",2017-02-05 19:39:00,2017-02-05 21:31:00,0:52
SWA2060,B737,KOAK,Metro Oakland Intl,"Oakland, CA",KSNA,John Wayne,"Santa Ana, CA",2017-02-05 19:40:00,2017-02-05 20:38:00,0:58
BLK6,C525,KSNA,John Wayne,"Santa Ana, CA",KLAS,Harry Reid Intl,"Las Vegas, NV",2017-02-05 19:42:00,2017-02-05 20:29:00,0:47
UAL2003,B738,KORD,Chicago O'Hare Intl,"Chicago, IL",KSNA,John Wayne,"Santa Ana, CA",2017-02-05 19:49:00,2017-02-05 21:52:00,4:03
SWA1539,B737,KSNA,John Wayne,"Santa Ana, CA",KSFO,San Francisco Int'l,"San Francisco, CA",2017-02-05 19:58:00,2017-02-05 21:13:00,1:15
SWA2960,B737,KSNA,John Wayne,"Santa Ana, CA",KOAK,Metro Oakland Intl,"Oakland, CA",2017-02-05 19:59:00,2017-02-05 21:12:00,1:13
EJA644,C56X,KCLL,Easterwood Fld,"College Station, TX",KSNA,John Wayne,"Santa Ana, CA",2017-02-05 19:59:00,2017-02-05 21:14:00,3:15
DAL2093,A319,KMSP,Minneapolis/St Paul Intl,"Minneapolis, MN",KSNA,John Wayne,"Santa Ana, CA",2017-02-05 20:11:00,2017-02-05 22:02:00,3:51
SKW3405,E75L,KSNA,John Wayne,"Santa Ana, CA",KSJC,San Jose Int'l,"San Jose, CA",2017-02-05 20:15:00,2017-02-05 21:26:00,1:11
UAL1609,B738,KSFO,San Francisco Int'l,"San Francisco, CA",KSNA,John Wayne,"Santa Ana, CA",2017-02-05 20:16:00,2017-02-05 21:14:00,0:58
ASA510,B737,KSEA,Seattle-Tacoma Intl,"Seattle, WA",KSNA,John Wayne,"Santa Ana, CA",2017-02-05 20:22:00,2017-02-05 22:40:00,2:18
